scenario,method,propensity_brier,propensity_log_loss,propensity_auc,propensity_calibration_error,propensity_rmse_truth,l_rmse_truth,mu0_rmse_truth,mu1_rmse_truth,estimated_extreme_propensity_share_005
A,difference_in_means,,,,,,,,,
A,ols_adjusted,,,,,,,,,
A,lasso_plugin,,,,,,,0.2922689657367249,0.288334229769726,
A,parametric_ipw,,,,,,,,,
A,parametric_aipw,,,,,,,,,
A,dml_plr_lasso,0.22639629105540776,0.6443932705247899,0.6865663680347046,0.05970061710347634,0.10491361045264838,0.24544708180179137,,,0.0
A,dml_plr_lasso_rich,0.2270046413062666,0.6456028780602022,0.6809115745967188,0.05275417099924158,0.10753321442124256,0.26633624832378494,,,5e-06
B,difference_in_means,,,,,,,,,
B,ols_adjusted,,,,,,,,,
B,lasso_plugin,,,,,,,0.46735938498059276,0.4664672702540776,
B,parametric_ipw,,,,,,,,,
B,parametric_aipw,,,,,,,,,
B,dml_plr_lasso,0.2301258988657816,0.6519119520447769,0.6604550495018283,0.039378399626889965,0.14163995411888833,0.3932394808709483,,,0.0
B,dml_plr_lasso_rich,0.23888018652000068,0.6710447635119475,0.6265876146324403,0.049019239916743736,0.17018969740317236,0.5175210808139488,,,3.5000000000000004e-05
C,difference_in_means,,,,,,,,,
C,ols_adjusted,,,,,,,,,
C,lasso_plugin,,,,,,,1.048157002834797,1.0428117019122254,
C,parametric_ipw,,,,,,,,,
C,parametric_aipw,,,,,,,,,
C,dml_plr_lasso,0.23875264229207185,0.6701950356675261,0.6196559535600147,0.03938527956190489,0.16885482149654266,1.1707716329884221,,,0.0
C,dml_plr_lasso_rich,0.23381917004998382,0.6598242255671362,0.6460767524846571,0.04597692798569418,0.15399250518462732,0.45847985707737005,,,0.000655
D,difference_in_means,,,,,,,,,
D,ols_adjusted,,,,,,,,,
D,lasso_plugin,,,,,,,1.117699245211493,1.16732508987701,
D,parametric_ipw,,,,,,,,,
D,parametric_aipw,,,,,,,,,
D,dml_plr_lasso,0.20405797782360335,0.5942036960466822,0.7499897429302219,0.047920907818109475,0.23708718052473177,1.2342275896090056,,,0.00051
D,dml_plr_lasso_rich,0.1734557162944905,0.5208623723678855,0.8248931477410472,0.05759751477022772,0.1596652064043997,0.46470492118141804,,,0.01774
