scenario,method,successful_replications,bias,mcse_bias,rmse,coverage_95,mcse_coverage_95,failure_rate,average_ci_width
A,ols_adjusted,200.0,-0.0049597868934859,0.0047282977348643,0.0668849951817583,0.965,0.012995191418367,0.0,0.2700769802360396
A,parametric_ipw,200.0,-0.0057252878169464,0.0057175836658925,0.0808593887740109,1.0,0.0,0.0,0.4741170853295084
A,parametric_aipw,200.0,-0.0046723126133749,0.0048855194902097,0.0690769306086465,0.965,0.012995191418367,0.0,0.2752619905726021
A,dml_plr_lasso,200.0,0.0444441034846329,0.0045981159402681,0.0786299542438006,0.9,0.0212132034355964,0.0,0.263970364890789
A,dml_plr_lasso_rich,200.0,0.0478632022902771,0.0045730950527416,0.0803281557574967,0.92,0.0191833260932508,0.0,0.26483223520005
B,ols_adjusted,200.0,0.0031892542042389,0.0064535306891458,0.0910940994531097,0.985,0.0085950567188355,0.0,0.4508326055685088
B,parametric_ipw,187.0,141.31477041986642,261.3772206994077,3567.5099780435844,1.0,0.0,0.0649999999999999,1536.1721028028194
B,parametric_aipw,187.0,-87.87574842620855,86.29841362928788,1180.2294520214089,0.9679144385026738,0.0128870200088993,0.0649999999999999,384.96774200123457
B,dml_plr_lasso,200.0,0.0558399053025178,0.0049578528629047,0.0894962330002025,0.905,0.0207334271166153,0.0,0.2719720503098201
B,dml_plr_lasso_rich,200.0,0.0587964196611524,0.0052603949780816,0.0946768095931109,0.85,0.0252487623459051,0.0,0.2787981209039493
C,ols_adjusted,200.0,0.4977818843355402,0.0082193055773204,0.5111072727159555,0.04,0.013856406460551,0.0,0.5911920280722301
C,parametric_ipw,200.0,0.4618893346594603,1.126597707780593,15.89932697939108,0.795,0.0285460154837763,0.0,15.64486777275903
C,parametric_aipw,200.0,-0.1738852626843452,0.3448630099856322,4.867998019739996,0.53,0.0352916420700425,0.0,5.483579183081404
C,dml_plr_lasso,200.0,0.4922570665059324,0.0066769728688215,0.5011874209280704,0.0,0.0,0.0,0.3648875767482941
C,dml_plr_lasso_rich,200.0,0.0177204391586525,0.0054062471083341,0.078296155815297,0.945,0.0161206389451535,0.0,0.2779110511552424
D,ols_adjusted,200.0,0.8796626907628741,0.0093027775211904,0.8893976848251429,0.0,0.0,0.0,0.634190597397524
D,parametric_ipw,75.0,104707.11169739335,104031.30040904692,901015.7754640126,0.92,0.0313262403319219,0.625,411426.546701654
D,parametric_aipw,75.0,51913.40462035546,51765.1028166456,448316.0893064185,0.7733333333333333,0.0483444431675987,0.625,203541.7802354084
D,dml_plr_lasso,200.0,0.8530476909424052,0.0072670851167898,0.8591854617688826,0.0,0.0,0.0,0.3908954579918833
D,dml_plr_lasso_rich,200.0,0.0512285944013119,0.0059809291571515,0.0987061299379343,0.9,0.0212132034355964,0.0,0.3219231318206683
