scenario,seed,alpha,C,l_rmse_truth,propensity_log_loss,propensity_rmse_truth,propensity_auc
B,9101,0.02,0.05,0.5328804229241575,0.6549193981766132,0.14330063838879856,0.6514670753324078
B,9101,0.02,0.1,0.5328804229241575,0.683063306054723,0.1787623140764467,0.6403514738775364
B,9101,0.02,0.2,0.5328804229241575,0.7802461389860904,0.24758478331656203,0.6296159955825688
B,9101,0.03,0.05,0.44690659696471513,0.6549187190924859,0.143300042823909,0.6514750779252478
B,9101,0.03,0.1,0.44690659696471513,0.6830635960623477,0.17876217120899848,0.6403554751739563
B,9101,0.03,0.2,0.44690659696471513,0.7802469049344141,0.2475844721736795,0.6296159955825689
B,9101,0.05,0.05,0.4025996368891705,0.6549182869610473,0.14329971697523,0.6514710766288279
B,9101,0.05,0.1,0.4025996368891705,0.6830636023113802,0.17876199159766562,0.6403474725811162
B,9101,0.05,0.2,0.4025996368891705,0.7802484001194553,0.24758499748673968,0.6296239981754088
B,9101,0.08,0.05,0.4790962772792514,0.6549185755712501,0.14330021021214318,0.6514630740359877
B,9101,0.08,0.1,0.4790962772792514,0.6830637147010589,0.17876194028778788,0.6403514738775363
B,9101,0.08,0.2,0.4790962772792514,0.780248055687807,0.24758522148219786,0.6296199968789888
B,9102,0.02,0.05,0.5111152805683385,0.6444431890528086,0.13816462705223004,0.6806249220256039
B,9102,0.02,0.1,0.5111152805683385,0.6610882213541781,0.17803076446028007,0.6636053751021214
B,9102,0.02,0.2,0.5111152805683385,0.7507378635255493,0.2472304918186634,0.6523730375605181
B,9102,0.03,0.05,0.42607946454820256,0.6444435096290951,0.13816520329595205,0.6806168730556706
B,9102,0.03,0.1,0.42607946454820256,0.6610872743283144,0.17802940659598054,0.6636053751021213
B,9102,0.03,0.2,0.42607946454820256,0.7507396224170637,0.2472306359277328,0.6523770620454847
B,9102,0.05,0.05,0.38291906368885753,0.6444436372507686,0.13816506123592487,0.6806047996007711
B,9102,0.05,0.1,0.38291906368885753,0.6610871268946878,0.17802977406527518,0.6636013506171548
B,9102,0.05,0.2,0.38291906368885753,0.7507384042930773,0.24723125099465124,0.6523770620454846
B,9102,0.08,0.05,0.46058898731889975,0.6444431775027147,0.13816417629966057,0.6806047996007711
B,9102,0.08,0.1,0.46058898731889975,0.6610880006531007,0.1780300039962923,0.6636013506171548
B,9102,0.08,0.2,0.46058898731889975,0.7507384247886363,0.24723058980947188,0.6523730375605182
B,9103,0.02,0.05,0.5111594903940351,0.6593694150621222,0.14819692475149554,0.6457702839025797
B,9103,0.02,0.1,0.5111594903940351,0.6747820579853724,0.17625804419393207,0.6490048197787065
B,9103,0.02,0.2,0.5111594903940351,0.7622882055478997,0.2473618557158582,0.6422595314726746
B,9103,0.03,0.05,0.42480142105098156,0.6593698016908058,0.14819657720023108,0.6457782901795007
B,9103,0.03,0.1,0.42480142105098156,0.6747803837871558,0.17625766825650024,0.6490128260556276
B,9103,0.03,0.2,0.42480142105098156,0.7622899595879494,0.24736202631998166,0.6422675377495957
B,9103,0.05,0.05,0.3748783091193267,0.6593680487656932,0.14819435350509624,0.6457742870410401
B,9103,0.05,0.1,0.3748783091193267,0.6747825112093001,0.1762573643855588,0.6489968135017854
B,9103,0.05,0.2,0.3748783091193267,0.7622870799030689,0.24736212657128456,0.6422635346111351
B,9103,0.08,0.05,0.45361074468909013,0.6593687017000025,0.14819586456668224,0.6457782901795008
B,9103,0.08,0.1,0.45361074468909013,0.6747820520704093,0.17625912497891755,0.6490008166402459
B,9103,0.08,0.2,0.45361074468909013,0.7622905793030513,0.24736322353343393,0.6422755440265168
C,9101,0.02,0.05,1.3205794826045834,0.6782669067733235,0.16766888153047668,0.5978580915651854
C,9101,0.02,0.1,1.3205794826045834,0.7067831888809717,0.20651010192722793,0.5981901393800708
