alpha,C,l_rmse_truth,propensity_log_loss,propensity_rmse_truth,propensity_auc
0.08,0.05,0.9411609755946364,0.643596569531907,0.18511177630464032,0.6680491767711614
0.05,0.05,0.9321494880928695,0.6435967097995139,0.1851118386706136,0.6680527355831011
0.02,0.05,1.0857007407392483,0.6435968294669087,0.1851120435229354,0.6680540815995542
0.03,0.05,0.999663539982846,0.6435970911930077,0.1851121661297076,0.6680531869512635
0.03,0.1,0.999663539982846,0.6719308398469517,0.2157399270589378,0.6531925531485405
0.05,0.1,0.9321494880928695,0.6719309125324666,0.21574014353182722,0.6531885474805449
0.02,0.1,1.0857007407392483,0.671931170241088,0.21574028627904218,0.653188998834422
0.08,0.1,0.9411609755946364,0.6719313766273803,0.21574048083023603,0.6531894384011734
0.02,0.2,1.0857007407392483,0.7711835198871531,0.27674479200404484,0.6392294389247628
0.08,0.2,0.9411609755946364,0.7711842493054949,0.27674509924936896,0.6392303269932545
0.05,0.2,0.9321494880928695,0.7711844824878059,0.27674521132838126,0.6392289972486329
0.03,0.2,0.999663539982846,0.7711849279685237,0.2767448785022697,0.6392307778586409
