scenario,draw,treatment_prevalence,true_extreme_share_005,true_extreme_share_010,true_propensity_q01,true_propensity_q99
A,0,0.508,0.0,0.009,0.13263743289413774,0.8884574734066034
A,1,0.495,0.0,0.009,0.12049251869592499,0.8822750783984188
A,2,0.516,0.0,0.012,0.14225769516322906,0.8966788485388717
A,3,0.514,0.0,0.014,0.12128833717898226,0.8890089547547526
A,4,0.485,0.001,0.009,0.1235608818709389,0.8659635400451754
A,5,0.485,0.001,0.009,0.12639986843050854,0.8716030682779101
A,6,0.51,0.0,0.007,0.10821720630622399,0.8779378150731791
A,7,0.515,0.0,0.018,0.10119141556965344,0.8931910458634947
A,8,0.471,0.0,0.013,0.12315822724506946,0.8862632721088238
A,9,0.501,0.0,0.009,0.11659350098898254,0.8696840561618788
A,10,0.512,0.001,0.007,0.1399711637905422,0.8781560209980966
A,11,0.496,0.0,0.005,0.13343951820647715,0.8557697922249401
A,12,0.52,0.001,0.006,0.12529222740358573,0.8681262499833341
A,13,0.49,0.002,0.014,0.12249699071028755,0.8884317177791514
A,14,0.509,0.001,0.013,0.10173402302190221,0.8675212051641719
A,15,0.494,0.0,0.008,0.12902405349052615,0.874257548475953
A,16,0.504,0.0,0.018,0.11712757919024543,0.9120014029638783
A,17,0.52,0.0,0.01,0.1309101844665643,0.8791486258563111
A,18,0.522,0.003,0.008,0.12893086086728145,0.8742870308544489
A,19,0.521,0.0,0.01,0.11304157233800312,0.8826661899836914
B,0,0.516,0.001,0.025,0.09406491535651809,0.907558259743992
B,1,0.478,0.003,0.021,0.09557848843713417,0.8935878065334026
B,2,0.481,0.002,0.018,0.0969309709232724,0.8871050402865333
B,3,0.494,0.0,0.022,0.10384020313529974,0.9080522845764638
B,4,0.524,0.001,0.019,0.1087045331102233,0.9016448782671957
B,5,0.512,0.002,0.019,0.1025149232459095,0.8989409303878199
B,6,0.497,0.002,0.017,0.11180743532421412,0.9013695923115892
B,7,0.476,0.002,0.023,0.10327364901513951,0.9131239132100843
B,8,0.535,0.001,0.025,0.09746800327135255,0.9026900905682884
B,9,0.526,0.0,0.017,0.10549519550276253,0.8927061705665142
B,10,0.47,0.001,0.014,0.13430768045532218,0.8999674737406953
B,11,0.464,0.003,0.016,0.10718294213531203,0.880578912030408
B,12,0.488,0.002,0.021,0.09675361699609224,0.8940103815895919
B,13,0.478,0.002,0.018,0.09599014862388643,0.8945252234161418
B,14,0.496,0.001,0.019,0.10619671586643542,0.8992176441720954
B,15,0.516,0.0,0.017,0.10323595734262563,0.8878634032811112
B,16,0.5,0.0,0.013,0.10546468680674866,0.8793761175563327
B,17,0.499,0.001,0.026,0.07958631626470786,0.8932240944407087
B,18,0.515,0.003,0.025,0.1174680287201971,0.9082208293709045
B,19,0.493,0.001,0.014,0.11310072812025547,0.889949323103259
C,0,0.494,0.007,0.027,0.1041649572463557,0.9329654143195443
C,1,0.465,0.003,0.024,0.1006758389268903,0.9125308686430526
C,2,0.482,0.003,0.019,0.10689114176027117,0.8968046737546196
C,3,0.503,0.005,0.026,0.1081046806074115,0.9051583877173714
C,4,0.51,0.009,0.03,0.1261293201876735,0.9367563414352116
C,5,0.508,0.004,0.029,0.12453899698687136,0.9273249605386684
C,6,0.489,0.005,0.021,0.121142718065597,0.9211958000993477
C,7,0.49,0.009,0.031,0.11084107952105177,0.933525263984967
C,8,0.522,0.006,0.027,0.11034269132907563,0.9283386392799526
C,9,0.493,0.009,0.024,0.10149593255032777,0.9189849173616301
C,10,0.483,0.009,0.028,0.1304368975459483,0.9343413803718701
C,11,0.489,0.006,0.02,0.1232116488745645,0.9308719112359631
C,12,0.498,0.007,0.028,0.10668963821563641,0.9312594193992566
C,13,0.494,0.008,0.024,0.11932617859958156,0.9233791459780024
C,14,0.479,0.007,0.028,0.11472917807864716,0.9367068225222588
C,15,0.462,0.002,0.019,0.1336526709073514,0.9150977345618151
C,16,0.512,0.002,0.035,0.10956444860063012,0.9235986041551496
C,17,0.494,0.007,0.024,0.10330261942277001,0.9152260986221827
C,18,0.522,0.004,0.027,0.11705725602815129,0.9217138144737508
C,19,0.492,0.007,0.027,0.1108792661111044,0.9169998634043471
D,0,0.506,0.152,0.291,0.007833316072230591,0.9973328256657364
D,1,0.477,0.157,0.284,0.007196700947365587,0.9949136615687838
D,2,0.467,0.147,0.281,0.008356658637503612,0.9923470573282681
D,3,0.504,0.154,0.298,0.008594004556577085,0.9937904600944767
D,4,0.496,0.16,0.304,0.012677689859332276,0.9976819291012283
D,5,0.505,0.147,0.294,0.012276132794603342,0.9967608031449855
D,6,0.473,0.166,0.286,0.011445685693277264,0.9960572116223351
D,7,0.472,0.172,0.31,0.009149441225605754,0.9973869849808087
D,8,0.521,0.15,0.282,0.009047450326362994,0.9968688882979669
D,9,0.501,0.166,0.294,0.0073433670040930245,0.9957829868916843
D,10,0.493,0.155,0.287,0.013809701897569762,0.997463632090075
D,11,0.479,0.142,0.271,0.011946651335274595,0.9971293552189509
D,12,0.471,0.155,0.278,0.008315617899930334,0.9971680047310953
D,13,0.479,0.162,0.29,0.011018426336345994,0.9963180457847256
D,14,0.471,0.169,0.293,0.009976778268096939,0.997677592883592
D,15,0.449,0.158,0.277,0.014696496894473346,0.9952714601435407
D,16,0.513,0.182,0.299,0.008887479806926404,0.9963436294488717
D,17,0.486,0.175,0.316,0.007672924117712787,0.9952885961799165
D,18,0.513,0.154,0.288,0.01049462561963909,0.9961206191482277
D,19,0.482,0.162,0.289,0.009157068384586443,0.9955234958473453
