scenario,method,status,count
A,difference_in_means,ok,200
A,dml_plr_lasso,ok,200
A,dml_plr_lasso_rich,ok,200
A,lasso_plugin,ok,200
A,ols_adjusted,ok,200
A,parametric_aipw,ok,200
A,parametric_ipw,ok,200
B,difference_in_means,ok,200
B,dml_plr_lasso,ok,200
B,dml_plr_lasso_rich,ok,200
B,lasso_plugin,ok,200
B,ols_adjusted,ok,200
B,parametric_aipw,invalid_propensity,13
B,parametric_aipw,ok,187
B,parametric_ipw,invalid_propensity,13
B,parametric_ipw,ok,187
C,difference_in_means,ok,200
C,dml_plr_lasso,ok,200
C,dml_plr_lasso_rich,ok,200
C,lasso_plugin,ok,200
C,ols_adjusted,ok,200
C,parametric_aipw,ok,200
C,parametric_ipw,ok,200
D,difference_in_means,ok,200
D,dml_plr_lasso,ok,200
D,dml_plr_lasso_rich,ok,200
D,lasso_plugin,ok,200
D,ols_adjusted,ok,200
D,parametric_aipw,invalid_propensity,125
D,parametric_aipw,ok,75
D,parametric_ipw,invalid_propensity,125
D,parametric_ipw,ok,75
